manager_id;xp_id;site_location;country;latitude;longitude;elevation;tarping_date;planned_duration;goals;restoration;operation_type;multiple_ops;freq_monitoring;slope;difficulty_access;shade;forest;ruggedness;granulometry;obstacles;flood;environment;fabric_type;liner_geomem;agri_geomem;woven_geotex;mulching_geotex;pla_geotex;weedsp_geotex;other_unknown;grammage;thickness;resi_punc;resi_trac;season;maxveg;preparation;levelling;stand_surface;age;fully_tarped;distance;multi_strips;strips_overlap;strips_fixation;staples_distance;fabric_fixation;tarpfix_multimethod;sedicover_height;trench;trench_depth;pierced_tarpinstall;plantation;repairs;add_control;add_control_type;degradation;pb_fixation;pb_durability;pb_trampiercing;pb_vandalism;regrowth_during;reg_staples;reg_stripoverlaps;reg_obstacles;reg_holes;reg_plantations;reg_pierced;reg_edges;reg_nearby;untarped_regrowth;tarping_abandoned;tarping_completed;tarping_ongoing;tarping_duration;latest_condition;latest_regrowth;latest_months;eff_expansion;eff_dispersal;eff_vigour;eff_eradication
1;2;Chalon s/ Saone;france;46.786;4.833;178;2017;10;eradicate_and_limit_expansion_vigour;0;research_trial;0;3;1;3;5;4;2;2;0;0;wasteland_railway;weed_geotex;0;0;0;0;0;1;0;240;0.64;550;18;summer;1;excavation;1;6;2;1;1;0;NA;NA;NA;trench_and_sedicover;1;10;1;40;0;0;0;0;none;1;0;0;1;0;1;0;0;0;0;0;1;0;0;NA;0;0;1;4;good;tarpedarea;01/09/2020;5;8;6;0
1;3;Chalon s/ Saone;france;46.788;4.831;180;2018;10;vigour;0;research_trial;1;3;0;0;1;1;2;2;1;0;wasteland_railway;weed_geotex;0;0;0;0;0;1;0;245;0.65;555;18.5;spring;0;excavation;1;32.5;3;0;0;1;25;tape;NA;trench_and_sedicover;1;10;1;10;0;0;0;0;none;1;0;0;1;0;1;0;1;0;0;0;1;1;0;NA;0;0;1;3;good;tarpedarea_edges;01/09/2020;NA;NA;NA;NA
2;4;saone et loire. moux en morvan;france;47.172;4.153;488;2012;NA;eradicate;1;management_trial;1;4;10;0;5;5;7;10;2;10;roadside_riverside;woven_geotex;0;0;1;0;0;0;1;NA;NA;NA;NA;spring;0;mowing;0;10;2;1;1;1;NA;staples;100;staples_and_plantations;1;0;1;10;0;2;0;1;uprooting;0;0;0;0;0;1;1;0;0;0;0;0;1;0;NA;0;0;1;9;good;NA;01/08/2020;6;9;9;0
3;5;MERVILLE / BAILLEUL;france;50.643;2.639;18;2015;99;eradicate;1;management_trial;0;3;8;1;2;2;2;5;0;8;roadside_riverside;unknown_geomem;NA;NA;0;0;0;0;1;NA;NA;NA;NA;NA;0;mowing;0;60;2;1;5;1;5;tape_and_staples;100;staples_and_plantations;1;0;0;0;0;2;1;1;uprooting_and_mowing;0;0;0;0;0;1;1;0;0;0;1;0;0;0;NA;0;0;1;5;NA;NA;NA;NA;NA;NA;0
4;6;CREPOL (26 350);france;45.174;5.071;295;2008;99;eradicate_and_limit_expansion;0;management_trial;0;3;1;2;8;3;3;10;0;3;riverside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;summer;1;uprooting;1;15;2;1;1;1;15;refold;NA;trench_and_sedicover;1;55;1;50;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;1;12;NA;none;01/08/2020;10;10;10;1
5;7;Sur plusieurs site du Département en bordure de Routes départementales;france;48.079;6.883;655;2017;3;limit_expansion_and_limit_dispersal_and_vigour;0;management_trial;1;2;4;1;4;5;1;7;1;0;roadside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;0;none;0;8;1;1;0.5;1;40;staples;25;sedicover_and_staples;1;10;0;0;3;0;1;1;mowing;1;0;0;1;0;1;1;1;0;1;0;0;0;0;tarpedarea_and_edges;0;1;0;1;bad;tarpedarea_edges_nearby;01/05/2020;5;8;2;0
6;8;Sens (89);france;48.200;3.283;72;2018;3;eradicate;0;management_trial;0;3;0;0;0;0;0;3;0;0;roadside;construction_geomem;0;0;0;0;0;0;1;NA;0.16;NA;19;winter;0;mowing;1;3;1;0;2;1;150;overlap;NA;trench_and_sedicover;0;0;1;10;0;0;1;1;uprooting;1;0;0;0;1;1;0;0;0;0;0;0;1;0;NA;0;0;1;3;good;edges;01/10/2020;5;7;7;0
7;9;Arles sur Tech / Pyrénées orientales;france;42.454;2.637;271;2015;3;eradicate_and_limit_dispersal;0;management_trial;0;1;6;3;5;9;6;6;6;0;roadside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;winter;0;uprooting;1;10;3;1;1;1;50;heavyobj_and_staples;60;heavyobj_and_trench;1;0;1;10;2;0;0;1;uprooting;0;0;0;0;0;1;0;0;0;0;0;0;1;0;none;0;1;0;3;good;none;01/07/2020;8;10;10;1
8;10;Orcival (63);france;45.683;2.840;908;2015;12;eradicate;0;management_trial;0;10;9;0;2;4;7;10;2;0;parking_lot;agri_geomem;0;1;0;0;0;0;0;290;NA;NA;NA;autumn;0;none;0;100;3;1;0.75;1;35;staples;6;heavyobj_and_trench;1;0;1;50;0;0;0;1;mowing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;1;5;good;few_edges;01/06/2020;8;8;8;0
9;11;Ooessant. Finistère;france;48.457;-5.097;14;2016;5;eradicate_and_limit_expansion_and_limit_dispersal;0;management_trial;0;3;0;0;0;0;5;7;3;5;roadside;agri_geomem;0;1;0;0;0;0;0;NA;0.115;3;20;spring;0;none;1;300;2;1;1;1;10;staples;100;staples_and_trench_and_sedicover;1;3;1;15;3;0;1;1;uprooting;1;1;0;0;0;1;0;0;0;0;0;0;1;0;NA;0;0;1;5;good;edges;01/09/2020;5;6;8;0
