manager_id,xp_id,lreg_edges,latitude,longitude,elevation,slope,flood,coarse_env,obstacles,stand_surface,geomem,maxveg,uprootexcav,distance,stripsoverlap_ok,tarpfix_multimethod,tarpfix_pierced,sedicover_height,trench_depth,plantation,repairs,add_control,followups,pb_fixation,pb_durability,tarping_duration,reg_elsewhere
1,2,0,46.786,4.833,178,1,0,-0.2679848174105078,0,6,0,1,1,1,1,1,0,10,40,0,0,0,-1.5859021863723384,0,0,4,1
2,4,0,47.172,4.153,488,10,10,2.117022132663946,2,10,0,0,0,1,1,1,1,0,10,1,0,1,0.05090586154449079,0,0,9,1
3,5,0,50.643,2.639,18,8,8,-0.7755215153956386,0,60,1,0,0,5,0,1,1,0,0,1,1,1,0.9875164329254584,0,0,5,1
4,6,0,45.174,5.071,295,1,3,1.5549862627418916,0,15,1,1,1,1,0,1,0,55,50,0,0,1,-0.1298901912961018,0,0,12,0
5,7,1,48.079,6.883,655,4,0,0.09390919469988218,1,8,1,0,0,0.5,0,1,1,10,0,0,1,1,0.8067203800848676,0,0,1,1
7,9,0,42.454,2.637,271,6,0,2.3163844553938917,6,10,1,0,1,1,1,1,0,0,10,0,0,1,-0.4914822969772828,0,0,3,0
8,10,1,45.683,2.84,908,9,0,1.577949875214396,2,100,1,0,0,0.75,0,1,0,0,50,0,0,1,1.1356821785880313,0,0,5,0
9,11,1,48.457,-5.097,14,0,5,-0.40096934357612485,3,300,1,0,0,1,0,1,1,3,15,0,1,1,0.987516432925458,1,0,5,0
10,12,0,50.623,2.988,23,0,0,-0.2957290042112317,1,9,0,0,0,2,1,1,0,0,50,0,0,1,-0.1298901912961018,0,0,5,0
11,13,0,45.447,4.583,457,9,2,1.8081394036635148,1,305,1,1,0,1.445,0,1,1,0,25,0,1,0,-0.4684955621507719,1,0,3,0
13,15,0,48.186,2.326,113,0,7,-2.440360637678654,0,300,1,0,1,2,1,0,0,25,0,0,0,1,-0.3106862441366923,0,0,4,1
14,16,0,47.509,1.458,84,9,10,1.2692060772735847,3,50,0,1,1,0.5,0,1,1,0,20,0,1,0,-0.6492916149913627,0,1,2,1
15,17,1,48.485,-2.677,11,7,2,1.1927487751827917,5,35,1,1,1,0.5,1,1,1,0,0,1,0,1,0.23170191438507903,0,0,5,1
16,18,1,49.508,0.2,5,7,7,1.9118325286055404,3,225,0,1,1,0,0,1,1,0,100,0,0,1,-0.1298901912961018,0,0,2,1
17,20,0,46.193,6.234,435,10,0,-0.9013179892847273,2,245,1,0,0,2,1,1,0,0,20,0,1,1,0.987516432925458,0,1,1,0
19,22,1,48.41,-1.752,56,3,0,1.0552255864464961,7,50,1,0,1,0,0,0,0,0,0,0,0,0,-2.1282903448941033,0,0,8,1
20,23,1,48.035,1.272,103,2,2,-0.4207781881933324,2,50,1,0,1,0.5,1,1,0,11.01,50,0,0,1,0.23170191438507903,0,0,3,0
20,24,1,48.07,1.328,143,7,8,0.4483672490693707,7,30,1,0,1,0.3,1,1,0,50,50,0,1,1,0.987516432925458,0,1,2,0
21,25,1,49.287,3.813,85,2,10,0.6507980432038899,0,40,1,0,0,1,1,1,0,0,55,1,0,1,-0.1298901912961018,0,0,5,0
22,26,0,45.587,2.739,856,4,3,0.03175900717972221,1.67,360,1,0,1,1.291,0,0,0,0,30,0,0,0,-2.1282903448941033,0,0,3,0
23,27,0,45.628,5.424,288,7,0,0.35821293679607663,0,10,1,0,1,2,1,1,1,0,20,0,0,1,-0.4914822969772828,0,0,0.5,0
24,28,0,48.802,-3.03,56,8,3,0.6887103205016678,0,500,0,0,1,2,1,1,1,0,30,0,0,1,0.59329402006626,0,0,1,1
26,30,0,48.273,0.459,83,2,0,0.7699544846542516,2,20,1,0,0,2,1,0,0,0,15,0,0,1,-0.1298901912961018,0,0,5,0
27,31,1,45.703,5.449,216,1,0,-0.6522844292350626,0,75,0,0,0,2,1,0,1,0,0,0,1,1,0.6259243272442772,0,0,2,1
29,33,0,46.674,4.363,284,2,8,1.616494900007412,6,2000,0,0,1,1,1,1,0,0,40,1,0,1,-0.3106862441366923,0,0,11,1
30,34,1,46.112,4.228,358,5,5,2.4486102817252355,5,140,1,1,0,1.5,0,0,0,0,25,0,1,1,0.987516432925458,0,0,3,0
31,35,0,44.817,6.195,1090,2,1,-1.0108321078216407,0,50,1,0,0,0.5,1,0,0,0,0,0,1,1,1.349108538606639,0,0,5,0
32,36,0,43.326,0.8,221,5,8,-1.1719928812072842,2,1000,0,1,0,2,0,0,1,0,0,0,1,1,0.8067203800848676,1,0,3,1
33,37,1,50.341,1.567,8,2,1,-0.7497809920849497,2,100,0,0,0,1.5,1,1,0,0,0,0,1,1,1.89149669712841,1,0,1.5,1
35,39,1,49.683,5.817,415,7,0,-1.2225617494208956,2,50,1,0,1,2,1,0,0,30,0,0,0,1,-0.3106862441366923,0,0,3,0
36,40,0,46.041,3.852,602,3,0,0.9170488149675199,0,10,1,0,1,2,0,1,0,20,50,1,0,1,0.05090586154448858,0,1,12,0
37,41,0,48.297,-0.94,131,8,0,-0.11321217178551383,1,60,0,0,1,1.6230000000000002,1,0,0,30,0,0,0,1,0.59329402006626,0,0,2,1
40,45,0,45.525,5.742,269,5,0,-1.0289791956042313,0,20,0,1,0,1,1,1,1,2,0,0,0,1,0.05090586154448858,0,0,4,0
41,46,1,46.562,4.912,177,8,0,-0.8869866628136954,3,150,1,0,1,0.5,1,1,1,0,25,1,1,1,0.6259243272442772,0,0,6,1
43,48,1,44.684,2.845,995,1,0,-0.4044431982322651,1,30,1,0,0,1,0,1,0,10,0,0,0,1,-0.1298901912961018,0,0,7,1
44,49,0,45.523,4.216,380,4,6,-0.8869866628136954,1,40,1,0,0,1.8,1,1,1,0,65,0,1,0,-0.8300876678319533,0,0,5,0
45,50,0,47.081,4.245,343,5,10,0.1534538243636789,0,400,0,0,1,1,0,1,1,0,30,1,1,1,0.987516432925458,1,0,8,0
46,51,0,44.978,-1.076,18,3,2,1.9759724546626156,8,20,1,0,1,1,0,1,0,8,15,0,1,1,0.987516432925458,0,1,7,1
50,56,1,45.93,5.728,613,4,0,-1.2280522462876522,1,15,1,0,1,1,1,0,1,0,0,0,0,1,0.41249796722566956,0,0,0.6,0
51,57,1,48.113,-0.973,131,0,3,-1.3209575119579697,0,4,0,1,0,0,1,0,1,0,0,0,0,1,-0.4914822969772828,0,0,4.5,0
54,60,0,44.236,2.11,466,8,8,0.6552237321561105,2,55,1,0,0,0.5,1,0,0,0,20,0,1,1,0.8067203800848676,0,0,10,1
55,61,0,48.39,-4.486,51,4,0,0.2789854148541102,3,50,1,0,0,2,1,1,0,10,0,0,0,1,0.59329402006626,0,0,5,1
58,64,1,49.555,0.722,118,1,0,-1.6527242479671909,0,50,1,1,1,1,1,1,1,0,0,0,0,1,-0.1298901912961018,0,1,3,1
59,65,1,49.493,0.462,4,3,0,-0.32098312179988303,6,100,1,1,1,1,1,1,0,10,15,0,0,1,0.59329402006626,1,1,2,1
60,66,1,48.097,-0.349,169,4,8,-0.3120073603496975,0,6,1,0,0,1,1,1,1,10,0,0,0,0,-1.9474942920535128,0,0,1,0
62,68,0,48.558,-2.533,90,10,10,2.9540043851607134,8,300,0,0,0,2,1,1,1,20,55,0,0,1,-0.1298901912961018,1,0,2,1
63,69,0,49.494,0.108,7,1,2,1.3171703338633733,0,600,0,0,0,1.4860000000000002,0,1,1,0,0,1,1,0,-0.4684955621507719,1,1,8,0
64,70,1,47.998,-4.098,8,6,10,2.3135075496578312,5,200,1,0,0,1,1,1,1,10,30,0,1,1,0.8067203800848676,0,0,10,1
65,71,0,45.718,4.809,163,8,8,0.9768932649780077,2,150,1,1,1,2,1,0,0,0,0,0,1,1,0.8067203800848676,1,0,5,0
66,72,1,49.193,0.722,58,5,2,-1.3573339847601684,3,150,0,1,1,0,0,0,0,0,0,0,0,0,-1.9474942920535128,0,0,2,0
67,73,0,48.15,2.705,97,1,4,-1.7101262830813335,6,90,0,0,0,1.5,1,1,0,20,100,0,0,1,-0.1298901912961018,0,0,3,1
68,74,0,49.05,7.427,300,10,2,0.9078944665694031,2,40,1,0,1,1,1,1,1,25,0,0,0,1,-0.3106862441366923,0,0,6,0
69,75,0,48.717,0.431,237,9,10,0.3734135062994248,0,1400,1,0,0,1.4575,1,1,1,0,0,1,0,0,-2.1282903448941033,1,0,2,0
70,76,1,46.887,-71.516,196,2,2,-0.04835720099618395,5,300,0,0,1,2,1,1,0,0,0,1,1,1,0.987516432925458,0,0,3,1
71,77,1,45.084,-73.149,36,5,0,-0.7477903073154955,8,50,0,0,1,0.5,1,1,1,0,0,0,0,1,-0.4914822969772828,0,1,7,1
72,78,0,45.278,-72.168,212,7,0,1.4093605548014354,2,28,1,0,1,1,0,0,0,2,0,0,1,1,2.0722927499690007,0,1,8,1
74,80,1,45.088,-73.133,35,5,9,-0.7471819484681266,8,10,1,0,0,0.5,1,1,1,0,0,0,1,1,0.6259243272442772,1,1,5,1
75,81,1,45.824,5.806,234,3,10,-0.5537383257110812,0,300,1,0,0,2,1,0,1,0,0,0,0,1,-0.4914822969772828,0,0,5,1
