manager_id,xp_id,reg_stripsoverlap,latitude,longitude,elevation,slope,coarse_env,obstacles,stand_surface,geomem,levelling,fully_tarped,distance,strips_overlap,tarpfix_multimethod,tarpfix_pierced,stripfix_pierced,stripfix_taped,sedicover_height,trench_depth,plantation,repairs,add_control,followups,pb_fixation,pb_durability,reg_elsewhere,tarping_duration
1,3,1,46.788,4.831,180,0,-1.9827680778165904,1,32.5,0,1,0,0,25,1,0,0,1,10,10,0,0,0,-1.4385397945923755,0,0,1,3
3,5,0,50.643,2.639,18,8,-0.8810435322659856,0,60,1,0,1,5,5,1,1,1,1,0,0,1,1,1,1.1169361781986007,0,0,1,5
4,6,0,45.174,5.071,295,1,2.0330452714606775,0,15,1,1,1,1,15,1,0,0,0,55,50,0,0,1,-0.06124061837989754,0,0,0,12
5,7,1,48.079,6.883,655,4,0.28431422704291764,1,8,1,0,1,0.5,40,1,1,1,0,10,0,0,1,1,0.9483521427765368,0,0,1,1
6,8,0,48.2,3.283,72,0,-2.6708636302140074,0,3,1,1,0,2,150,0,0,0,0,0,10,0,1,1,1.1169361781986011,0,0,1,3
7,9,0,42.454,2.637,271,6,2.459974595146134,6,10,1,1,1,1,50,1,0,1,0,0,10,0,0,1,-0.3984086892240263,0,0,1,3
8,10,0,45.683,2.84,908,9,1.2914791772699548,2,100,1,0,1,0.75,35,1,0,1,0,0,50,0,0,1,1.118847629574552,0,0,0,5
9,11,0,48.457,-5.097,14,0,-0.8811191787495515,3,300,1,1,1,1,10,1,1,1,0,3,15,0,1,1,1.1169361781986011,1,0,1,5
10,12,0,50.623,2.988,23,0,-0.5584825544550622,1,9,0,1,1,2,50,1,0,1,0,0,50,0,0,0,-1.4385397945923775,0,0,0,5
11,13,0,45.447,4.583,457,9,1.8830801497644103,1,305,1,0,1,1.5155,30,1,1,1,1,0,25,0,1,0,-0.2603629980138787,1,0,0,3
12,14,1,44.683,2.846,994,5,2.21616720299902,0,300,1,1,0,1,20,1,0,0,0,15,15,0,1,1,0.7797681073544728,0,0,1,4
14,16,1,47.509,1.458,84,9,0.6523283744307352,3,50,0,0,1,0.5,20,1,1,1,0,0,20,0,1,0,-0.42894703343594304,0,1,1,2
16,18,1,49.508,0.2,5,7,1.6718834008197883,3,225,0,0,1,0,15,1,1,1,0,0,100,0,0,1,-0.061240618379897985,0,0,1,2
19,22,1,48.41,-1.752,56,3,1.1301454686363146,7,50,1,0,1,0,30,0,0,0,0,0,0,0,0,0,-1.94429190085857,0,0,1,8
20,23,0,48.035,1.272,103,2,-0.5533539131861221,2,50,1,1,1,0.5,100,1,0,1,1,5.45,50,0,0,1,0.2759274524642309,0,0,1,3
21,25,0,49.287,3.813,85,2,1.3311786514702602,0,40,1,0,1,1,50,1,0,1,0,0,55,1,0,1,-0.061240618379897985,0,0,1,5
24,28,0,48.802,-3.03,56,8,0.4538866835244796,0,500,0,1,1,2,100,1,1,1,0,0,30,0,0,1,0.6130955233083588,0,0,1,1
25,29,0,45.568,5.378,317,8,1.5247604939933823,6,450,0,0,0,1,50,1,0,1,0,0,50,0,0,1,-0.061240618379897985,0,0,1,3
27,31,0,45.703,5.449,216,1,-0.8191891907177917,0,75,0,0,1,2,60,0,1,1,0,0,0,0,1,1,0.7797681073544728,0,0,1,2
29,33,0,46.674,4.363,284,2,1.6515682232064322,6,2000,0,1,1,1,100,1,0,1,0,0,40,1,0,1,-0.2298246538019619,0,0,1,11
32,36,0,43.326,0.8,221,5,-1.088652512238758,2,1000,0,0,1,2,30,0,1,1,0,0,0,0,1,1,0.9483521427765368,1,0,1,3
33,37,1,50.341,1.567,8,2,-1.150975034135161,2,100,0,0,1,1.5,50,1,0,0,0,0,0,0,1,1,1.959856355308922,1,0,1,1.5
36,40,0,46.041,3.852,602,3,1.1440488651071279,0,10,1,0,1,2,15,1,0,0,0,20,50,1,0,1,0.10734341704216652,0,1,0,12
37,41,1,48.297,-0.94,131,8,0.10589136887591769,1,60,0,1,1,1.11,50,0,0,1,0,30,0,0,0,1,0.6130955233083588,0,0,1,2
38,42,0,45.747,6.42,419,8,-0.096760805302024,2,200,1,0,0,1,50,1,0,0,0,10,10,0,0,1,-0.061240618379897985,0,0,1,1
1,44,0,46.786,4.833,182,7,0.3285228691968224,1,20,0,1,0,0,50,1,1,1,0,0,0,0,0,0,-1.607123830014442,0,0,1,3
40,45,0,45.525,5.742,269,5,-1.3376366401500837,0,20,0,0,1,1,50,1,1,1,0,2,0,0,0,1,0.10734341704216652,0,0,1,4
42,47,1,50.26,4.025,154,8,-1.1692992290468542,2,100,1,1,0,0,50,1,1,0,0,0,0,1,1,1,0.7797681073544728,0,0,1,9
