Rank;Model;Response;Candidate model;k;AICc;delta AICc;W;pseudo-R2
1;34;reg_stripsoverlap;levelling + log2(sedicover_height + 1);3;84.9; 0.000;0.334;0.143
2;21;reg_stripsoverlap;obstacles + levelling;3;85.3; 0.427;0.269;0.149
3;4;reg_stripsoverlap;levelling;2;86.8; 1.881;0.130;0.098
4;14;reg_stripsoverlap;strips_overlap + levelling;3;88.5; 3.588;0.055;0.103
5;26;reg_stripsoverlap;stripfix_taped + levelling;3;88.9; 3.986;0.045;0.100
6;2;reg_stripsoverlap;obstacles;2;90.0; 5.128;0.026;0.057
7;24;reg_stripsoverlap;obstacles + stripfix_taped;3;91.0; 6.129;0.016;0.071
8;23;reg_stripsoverlap;obstacles + slope;3;91.7; 6.812;0.011;0.064
9;22;reg_stripsoverlap;obstacles + log2(stand_surface);3;91.8; 6.867;0.011;0.062
10;12;reg_stripsoverlap;strips_overlap + obstacles;3;91.9; 7.007;0.010;0.061
11;25;reg_stripsoverlap;obstacles + tarpfix_multimethod;3;92.0; 7.145;0.009;0.060
12;1;reg_stripsoverlap;null;1;92.1; 7.225;0.009;0.000
13;6;reg_stripsoverlap;log2(sedicover_height + 1);2;92.5; 7.609;0.007;0.023
14;9;reg_stripsoverlap;slope;2;93.1; 8.223;0.005;0.015
15;27;reg_stripsoverlap;stripfix_taped + log2(sedicover_height + 1);3;93.3; 8.357;0.005;0.042
16;5;reg_stripsoverlap;plantation;2;93.3; 8.445;0.005;0.011
17;3;reg_stripsoverlap;fully_tarped;2;93.4; 8.468;0.005;0.011
18;10;reg_stripsoverlap;stripfix_taped;2;93.6; 8.740;0.004;0.008
19;7;reg_stripsoverlap;log2(stand_surface);2;93.7; 8.802;0.004;0.007
20;8;reg_stripsoverlap;strips_overlap;2;93.9; 8.979;0.004;0.004
21;32;reg_stripsoverlap;fully_tarped + log2(sedicover_height + 1);3;94.0; 9.056;0.004;0.033
22;11;reg_stripsoverlap;tarpfix_multimethod;2;94.1; 9.223;0.003;0.002
23;35;reg_stripsoverlap;plantation + log2(stand_surface);3;94.1; 9.248;0.003;0.029
24;31;reg_stripsoverlap;fully_tarped + plantation;3;94.4; 9.453;0.003;0.029
25;16;reg_stripsoverlap;strips_overlap + log2(sedicover_height + 1);3;94.4; 9.506;0.003;0.026
26;18;reg_stripsoverlap;strips_overlap + slope;3;94.8; 9.949;0.002;0.020
27;29;reg_stripsoverlap;stripfix_taped + slope;3;95.0;10.125;0.002;0.019
28;33;reg_stripsoverlap;fully_tarped + log2(stand_surface);3;95.1;10.219;0.002;0.016
29;15;reg_stripsoverlap;strips_overlap + plantation;3;95.1;10.235;0.002;0.016
30;13;reg_stripsoverlap;strips_overlap + fully_tarped;3;95.2;10.332;0.002;0.014
31;19;reg_stripsoverlap;strips_overlap + stripfix_taped;3;95.3;10.385;0.002;0.014
32;17;reg_stripsoverlap;strips_overlap + log2(stand_surface);3;95.4;10.523;0.002;0.012
33;30;reg_stripsoverlap;tarpfix_multimethod + fully_tarped;3;95.4;10.537;0.002;0.013
34;28;reg_stripsoverlap;stripfix_taped + tarpfix_multimethod;3;95.8;10.864;0.001;0.008
35;20;reg_stripsoverlap;strips_overlap + tarpfix_multimethod;3;95.8;10.907;0.001;0.008
