Response;Parameters;Imp.;Estimate (±SE);(95% CI);N model
reg_stripsoverlap;fully_tarped;0.02;0.513 (±0.572);"(-0.608; 1.633)";35
reg_stripsoverlap;levelling;0.83;-1.580 (±0.623);"(-2.800; -0.360)";35
reg_stripsoverlap;log2(sedicover_height + 1);0.35;0.301 (±0.161);"(-0.015; 0.618)";35
reg_stripsoverlap;log2(stand_surface);0.02;0.090 (±0.122);"(-0.150; 0.330)";35
reg_stripsoverlap;obstacles;0.35;0.195 (±0.103);"(-0.007; 0.396)";35
reg_stripsoverlap;plantation;0.01;-0.859 (±0.876);"(-2.576; 0.859)";35
reg_stripsoverlap;slope;0.02;0.068 (±0.082);"(-0.093; 0.228)";35
reg_stripsoverlap;stripfix_taped;0.08;-0.399 (±0.804);"(-1.976; 1.177)";35
reg_stripsoverlap;strips_overlap;0.08;-0.006 (±0.009);"(-0.024; 0.012)";35
reg_stripsoverlap;tarpfix_multimethod;0.02;-0.236 (±0.643);"(-1.496; 1.023)";35
